,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
0,['1000610'],['1000910'],0.145,0.145,0.145,1.0,6.8965517241379315,1.0,0.12397499999999999,inf,1.0,1.0,1.0,1.0
1,['1000910'],['1000610'],0.145,0.145,0.145,1.0,6.8965517241379315,1.0,0.12397499999999999,inf,1.0,1.0,1.0,1.0
2,['1001210'],['1000610'],0.075,0.145,0.075,1.0,6.8965517241379315,1.0,0.064125,inf,0.9243243243243242,0.517241379310345,1.0,0.7586206896551724
3,['1000610'],['1001210'],0.145,0.075,0.075,0.5172413793103449,6.8965517241379315,1.0,0.064125,1.9160714285714289,1.0,0.517241379310345,0.47809878844361603,0.7586206896551724
4,['1001210'],['1000910'],0.075,0.145,0.075,1.0,6.8965517241379315,1.0,0.064125,inf,0.9243243243243242,0.517241379310345,1.0,0.7586206896551724
5,['1000910'],['1001210'],0.145,0.075,0.075,0.5172413793103449,6.8965517241379315,1.0,0.064125,1.9160714285714289,1.0,0.517241379310345,0.47809878844361603,0.7586206896551724
6,['1011610'],['1011210'],0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
7,['1011210'],['1011610'],0.125,0.125,0.125,1.0,8.0,1.0,0.109375,inf,1.0,1.0,1.0,1.0
8,['1011210'],['1012010'],0.125,0.065,0.065,0.52,8.0,1.0,0.056875,1.9479166666666667,1.0,0.52,0.48663101604278075,0.76
9,['1012010'],['1011210'],0.065,0.125,0.065,1.0,8.0,1.0,0.056875,inf,0.9358288770053476,0.52,1.0,0.76
10,['1011610'],['1012010'],0.125,0.065,0.065,0.52,8.0,1.0,0.056875,1.9479166666666667,1.0,0.52,0.48663101604278075,0.76
11,['1012010'],['1011610'],0.065,0.125,0.065,1.0,8.0,1.0,0.056875,inf,0.9358288770053476,0.52,1.0,0.76
12,['1135000'],['1235000'],0.26,0.26,0.26,1.0,3.846153846153846,1.0,0.19240000000000002,inf,1.0,1.0,1.0,1.0
13,['1235000'],['1135000'],0.26,0.26,0.26,1.0,3.846153846153846,1.0,0.19240000000000002,inf,1.0,1.0,1.0,1.0
14,['6902403'],['1135000'],0.125,0.26,0.125,1.0,3.846153846153846,1.0,0.0925,inf,0.8457142857142858,0.4807692307692307,1.0,0.7403846153846154
15,['1135000'],['6902403'],0.26,0.125,0.125,0.4807692307692307,3.846153846153846,1.0,0.0925,1.6851851851851851,1.0,0.4807692307692307,0.40659340659340654,0.7403846153846154
16,['6902403'],['1235000'],0.125,0.26,0.125,1.0,3.846153846153846,1.0,0.0925,inf,0.8457142857142858,0.4807692307692307,1.0,0.7403846153846154
17,['1235000'],['6902403'],0.26,0.125,0.125,0.4807692307692307,3.846153846153846,1.0,0.0925,1.6851851851851851,1.0,0.4807692307692307,0.40659340659340654,0.7403846153846154
18,['GAAV015000'],['GABC020015'],0.1,0.1,0.1,1.0,10.0,1.0,0.09,inf,0.9999999999999999,1.0,1.0,1.0
19,['GABC020015'],['GAAV015000'],0.1,0.1,0.1,1.0,10.0,1.0,0.09,inf,0.9999999999999999,1.0,1.0,1.0
20,['GEF2020'],['GEF2525'],0.08,0.08,0.08,1.0,12.5,1.0,0.0736,inf,1.0,1.0,1.0,1.0
21,['GEF2525'],['GEF2020'],0.08,0.08,0.08,1.0,12.5,1.0,0.0736,inf,1.0,1.0,1.0,1.0
22,['GEM2020'],['GEM2525'],0.09,0.09,0.09,1.0,11.11111111111111,1.0,0.0819,inf,1.0,1.0,1.0,1.0
23,['GEM2525'],['GEM2020'],0.09,0.09,0.09,1.0,11.11111111111111,1.0,0.0819,inf,1.0,1.0,1.0,1.0
24,['PBC2013'],['PBC2513'],0.11,0.11,0.11,1.0,9.090909090909092,1.0,0.0979,inf,1.0,1.0,1.0,1.0
25,['PBC2513'],['PBC2013'],0.11,0.11,0.11,1.0,9.090909090909092,1.0,0.0979,inf,1.0,1.0,1.0,1.0
26,"['1001210', '1000610']",['1000910'],0.075,0.145,0.075,1.0,6.8965517241379315,1.0,0.064125,inf,0.9243243243243242,0.517241379310345,1.0,0.7586206896551724
27,"['1001210', '1000910']",['1000610'],0.075,0.145,0.075,1.0,6.8965517241379315,1.0,0.064125,inf,0.9243243243243242,0.517241379310345,1.0,0.7586206896551724
28,"['1000610', '1000910']",['1001210'],0.145,0.075,0.075,0.5172413793103449,6.8965517241379315,1.0,0.064125,1.9160714285714289,1.0,0.517241379310345,0.47809878844361603,0.7586206896551724
29,['1001210'],"['1000610', '1000910']",0.075,0.145,0.075,1.0,6.8965517241379315,1.0,0.064125,inf,0.9243243243243242,0.517241379310345,1.0,0.7586206896551724
30,['1000610'],"['1001210', '1000910']",0.145,0.075,0.075,0.5172413793103449,6.8965517241379315,1.0,0.064125,1.9160714285714289,1.0,0.517241379310345,0.47809878844361603,0.7586206896551724
31,['1000910'],"['1001210', '1000610']",0.145,0.075,0.075,0.5172413793103449,6.8965517241379315,1.0,0.064125,1.9160714285714289,1.0,0.517241379310345,0.47809878844361603,0.7586206896551724
32,"['1011610', '1011210']",['1012010'],0.125,0.065,0.065,0.52,8.0,1.0,0.056875,1.9479166666666667,1.0,0.52,0.48663101604278075,0.76
33,"['1011610', '1012010']",['1011210'],0.065,0.125,0.065,1.0,8.0,1.0,0.056875,inf,0.9358288770053476,0.52,1.0,0.76
34,"['1011210', '1012010']",['1011610'],0.065,0.125,0.065,1.0,8.0,1.0,0.056875,inf,0.9358288770053476,0.52,1.0,0.76
35,['1011610'],"['1011210', '1012010']",0.125,0.065,0.065,0.52,8.0,1.0,0.056875,1.9479166666666667,1.0,0.52,0.48663101604278075,0.76
36,['1011210'],"['1011610', '1012010']",0.125,0.065,0.065,0.52,8.0,1.0,0.056875,1.9479166666666667,1.0,0.52,0.48663101604278075,0.76
37,['1012010'],"['1011610', '1011210']",0.065,0.125,0.065,1.0,8.0,1.0,0.056875,inf,0.9358288770053476,0.52,1.0,0.76
38,"['6902403', '1135000']",['1235000'],0.125,0.26,0.125,1.0,3.846153846153846,1.0,0.0925,inf,0.8457142857142858,0.4807692307692307,1.0,0.7403846153846154
39,"['6902403', '1235000']",['1135000'],0.125,0.26,0.125,1.0,3.846153846153846,1.0,0.0925,inf,0.8457142857142858,0.4807692307692307,1.0,0.7403846153846154
40,"['1135000', '1235000']",['6902403'],0.26,0.125,0.125,0.4807692307692307,3.846153846153846,1.0,0.0925,1.6851851851851851,1.0,0.4807692307692307,0.40659340659340654,0.7403846153846154
41,['6902403'],"['1135000', '1235000']",0.125,0.26,0.125,1.0,3.846153846153846,1.0,0.0925,inf,0.8457142857142858,0.4807692307692307,1.0,0.7403846153846154
42,['1135000'],"['6902403', '1235000']",0.26,0.125,0.125,0.4807692307692307,3.846153846153846,1.0,0.0925,1.6851851851851851,1.0,0.4807692307692307,0.40659340659340654,0.7403846153846154
43,['1235000'],"['6902403', '1135000']",0.26,0.125,0.125,0.4807692307692307,3.846153846153846,1.0,0.0925,1.6851851851851851,1.0,0.4807692307692307,0.40659340659340654,0.7403846153846154
